"Cluster","RA","DEC","GLON","GLAT","r50","agenn","dmnn","distpc","pmRA*","e_pmRA*","pmDE","e_pmDE","plx","e_plx","nb","nbB0","nbB2","nbB4","SimbadName","_RA_icrs","_DE_icrs"
"Melotte_22",56.601,24.114,166.462,-23.614,1.274,7.89,5.55,128,,,,,,,928,2,22,64,"Cl Melotte 22",56.601,24.114
"UBC_19",56.336,29.827,162.215,-19.48,0.254,6.84,8.1,416,2.656,0.256,-5.208,0.112,2.456,0.074,32,3,8,9," ",56.336,29.827
"NGC_1333",52.297,31.31,158.343,-20.505,0.095,7.06,7.38,299,6.821,0.755,-9.916,0.472,3.36,0.087,50,0,1,1,"NGC 1333",52.297,31.31
"UBC_199",67.449,25.422,172.8,-15.669,0.135,9.06,10.46,1233,2.875,0.062,-1.847,0.039,0.842,0.028,55,1,13,32," ",67.449,25.422
"Czernik_19",74.258,28.763,174.096,-8.862,0.076,8.31,12.06,2586,0.958,0.061,-2.141,0.05,0.391,0.035,78,5,40,73,"Cl Czernik 19",74.258,28.763
"Skiff_J0507+30.8",76.78,30.846,173.754,-5.861,0.075,9.39,13.92,6088,0.739,0.068,-0.735,0.055,0.177,0.04,75,7,51,75,"Name Skiff J0507+30.8",76.78,30.846
"FSR_0771",75.919,32.157,172.257,-5.663,0.115,8.45,10.92,1529,1.488,0.039,-4.25,0.051,0.612,0.032,40,1,11,31,"[FSR2007] 0771",75.919,32.157
"UBC_31",61.146,32.532,163.527,-14.719,1.612,7.42,7.67,341,3.753,0.192,-5.411,0.184,2.764,0.081,65,0,6,35," ",61.146,32.532
"Czernik_18",66.963,30.936,168.263,-12.309,0.051,8.72,10.61,1325,1.715,0.078,-3.079,0.057,0.751,0.036,45,0,3,21,"Cl Czernik 18",66.963,30.936
"FSR_0728",67.458,38.496,162.916,-6.874,0.05,8.21,11.37,1876,1.907,0.068,-2.266,0.061,0.557,0.023,55,1,13,39,"[FSR2007] 0728",67.458,38.496
"COIN-Gaia_11",68.11,39.479,162.538,-5.834,0.336,8.9,9.13,669,3.493,0.107,-5.695,0.112,1.518,0.034,75,0,13,47,"[CKS2019] COIN-Gaia 11",68.11,39.479
"COIN-Gaia_10",68.385,40.509,161.92,-4.981,0.177,7.74,10.04,1018,1.951,0.079,-3.441,0.06,0.956,0.028,28,0,2,14,"[CKS2019] COIN-Gaia 10",68.385,40.509
"COIN-Gaia_20",78.634,31.691,174.004,-4.082,0.258,7.93,10.09,1044,0.48,0.073,-1.52,0.051,0.932,0.029,36,0,5,22,"[CKS2019] COIN-Gaia 20",78.634,31.691
"Berkeley_69",81.09,32.607,174.442,-1.853,0.038,8.9,12.66,3410,0.748,0.06,-1.941,0.047,0.275,0.06,98,2,39,97,"Cl Berkeley 69",81.09,32.607
"NGC_1893",80.724,33.444,173.577,-1.634,0.085,6.64,12.54,3222,-0.312,0.109,-1.428,0.104,0.298,0.042,122,28,77,119,"NGC 1893",80.724,33.444
"Gulliver_8",80.56,33.792,173.213,-1.549,0.102,7.33,10.28,1137,-0.297,0.078,-3.06,0.076,0.926,0.035,29,1,3,11,"Cl Gulliver 8",80.56,33.792
"Dolidze_16",78.623,32.707,173.17,-3.499,0.13,7.22,10.62,1332,-0.084,0.108,-2.699,0.087,0.784,0.055,47,3,8,23,"Cl Dolidze 16",78.623,32.707
"Gulliver_54",81.297,33.688,173.645,-1.103,0.102,8.45,10.38,1190,-0.509,0.065,-7.223,0.049,0.828,0.026,30,1,5,9,"Cl Gulliver 54",81.297,33.688
"COIN-Gaia_19",82.188,34.29,173.557,-0.153,0.172,8.03,10.47,1241,-1.538,0.094,-4.664,0.062,0.796,0.038,76,1,11,40,"[CKS2019] COIN-Gaia 19",82.188,34.29
"Stock_8",81.956,34.452,173.316,-0.223,0.153,7.16,11.86,2354,0.029,0.117,-2.361,0.136,0.467,0.034,275,24,117,247,"Cl Stock 8",81.956,34.452
"Gulliver_53",80.975,34.012,173.226,-1.141,0.123,8.11,11.93,2434,0.36,0.058,-2.881,0.028,0.393,0.021,23,1,12,23,"Cl Gulliver 53",80.975,34.012
"Kronberger_1",82.089,34.777,173.106,0.049,0.014,6.78,11.84,2338,-0.057,0.076,-2.31,0.106,0.469,0.056,32,6,15,30,"Kronberger 1",82.089,34.777
"NGC_1907",82.033,35.33,172.621,0.317,0.075,8.77,11.05,1618,-0.14,0.09,-3.415,0.1,0.629,0.035,275,8,67,183,"NGC 1907",82.033,35.33
"UBC_198",82.109,35.736,172.316,0.602,0.121,8.44,11.21,1744,-0.026,0.043,-1.966,0.049,0.514,0.034,54,1,12,39," ",82.109,35.736
"NGC_1912",82.167,35.824,172.27,0.681,0.163,8.47,10.22,1104,1.521,0.118,-4.453,0.138,0.885,0.029,348,8,69,192,"NGC 1912",82.167,35.824
"Gulliver_26",80.689,35.27,172.055,-0.625,0.076,8.58,12.13,2671,1.864,0.045,-2.856,0.056,0.362,0.043,42,1,17,39,"Cl Gulliver 26",80.689,35.27
"Czernik_21",81.671,36.013,171.889,0.453,0.053,9.41,13.03,4036,2.186,0.088,-0.916,0.097,0.245,0.087,122,3,32,124,"Cl Czernik 21",81.671,36.013
"COIN-Gaia_17",81.244,37.558,170.418,1.035,0.151,8.6,10.17,1082,0.268,0.098,-4.306,0.068,0.904,0.041,66,0,8,26,"[CKS2019] COIN-Gaia 17",81.244,37.558
"COIN-Gaia_18",78.408,35.498,170.797,-2.014,0.239,8.25,10.06,1027,0.733,0.074,-4.952,0.05,0.963,0.032,39,2,11,26,"[CKS2019] COIN-Gaia 18",78.408,35.498
"COIN-Gaia_15",76.09,35.831,169.408,-3.328,0.147,8,10.35,1174,0.286,0.074,-3.825,0.079,0.818,0.027,87,1,5,42,"[CKS2019] COIN-Gaia 15",76.09,35.831
"UBC_61",75.067,36.23,168.585,-3.741,0.145,8.92,10.59,1314,2.016,0.05,-2.206,0.061,0.773,0.034,52,0,7,29," ",75.067,36.23
"NGC_1778",77.033,37.02,168.914,-2.007,0.112,8.25,11.11,1663,0.46,0.071,-3.215,0.069,0.586,0.035,151,6,29,101,"NGC 1778",77.033,37.02
"RSG_1",75.508,37.475,167.817,-2.699,0.621,8.09,7.71,347,0.754,0.275,-12.402,0.206,3.037,0.045,98,1,3,16,"RSG 1",75.508,37.475
"COIN-Gaia_16",80.179,37.438,170.038,0.27,0.059,7.41,10.93,1531,1.183,0.079,-3.856,0.04,0.612,0.025,25,0,5,16,"[CKS2019] COIN-Gaia 16",80.179,37.438
"UBC_63",79.664,37.815,169.495,0.152,0.085,7.78,10.95,1546,1.134,0.143,-3.557,0.095,0.654,0.028,25,0,4,12," ",79.664,37.815
"UBC_613",79.976,38.975,168.678,1.013,0.04,8.14,13,3986,0.238,0.108,-0.68,0.024,0.192,0.015,16,3,12,16," ",79.976,38.975
"NGC_1857",80.031,39.336,168.414,1.259,0.062,8.4,12.31,2900,0.47,0.066,-1.379,0.047,0.33,0.027,92,13,63,90,"NGC 1857",80.031,39.336
"Czernik_20",80.129,39.545,168.286,1.44,0.032,9.22,12.71,3488,0.544,0.081,-1.607,0.041,0.288,0.03,34,2,17,33,"Cl Czernik 20",80.129,39.545
"King_17",77.09,39.069,167.297,-0.745,0.038,7.72,13.07,4106,-0.205,0.045,-1.409,0.05,0.236,0.033,38,5,26,38,"Cl King 17",77.09,39.069
"COIN-Gaia_14",77.696,39.195,167.476,-0.293,0.157,8.63,9.86,936,1.282,0.086,-6.658,0.054,1.04,0.024,17,1,3,14,"[CKS2019] COIN-Gaia 14",77.696,39.195
"UBC_432",79.031,39.518,167.823,0.745,0.054,8.52,12.32,2904,0.245,0.043,-1.919,0.026,0.326,0.053,28,1,13,28," ",79.031,39.518
"UBC_612",79.833,40.14,167.668,1.601,0.07,7.21,13.74,5607,0.294,0.045,-0.664,0.029,0.173,0.023,16,3,14,16," ",79.833,40.14
"Stock_10",84.808,37.85,171.714,3.556,0.541,7.91,7.86,373,-3.153,0.212,-0.419,0.185,2.802,0.055,141,3,12,23,"Cl Stock 10",84.808,37.85
"Teutsch_2",85.342,39.237,170.752,4.643,0.05,9.2,13.41,4807,0.468,0.065,-1.417,0.063,0.185,0.065,65,0,23,64,"Teutsch 2",85.342,39.237
"UBC_197",83.359,39.841,169.42,3.669,0.088,8.45,12.52,3185,0.088,0.071,-1.317,0.049,0.327,0.038,72,3,25,73," ",83.359,39.841
"COIN-Gaia_13",83.186,42.087,167.459,4.776,1.003,8.27,8.68,545,-3.891,0.139,-1.681,0.13,1.95,0.071,127,0,9,34,"[CKS2019] COIN-Gaia 13",83.186,42.087
"Berkeley_70",81.457,41.951,166.865,3.628,0.061,9.34,13.48,4954,0.846,0.106,-1.899,0.079,0.215,0.067,137,6,40,136,"Cl Berkeley 70",81.457,41.951
"SAI_47",81,42.315,166.373,3.551,0.021,7.8,13.35,4683,0.003,0.018,-0.379,0.068,0.173,0.031,12,3,9,12,"SAI 47",81,42.315
"COIN-Gaia_12",79.209,41.708,166.113,2.112,0.306,8.73,9.9,954,2.514,0.073,-4.706,0.062,1.029,0.033,65,1,7,22,"[CKS2019] COIN-Gaia 12",79.209,41.708
"FSR_0735",73.471,40.859,164.181,-1.835,0.041,8.66,12.28,2856,0.405,0.056,-2.131,0.057,0.315,0.051,52,2,18,45,"[FSR2007] 0735",73.471,40.859
"UBC_430",71.449,41.477,162.744,-2.597,0.125,8.01,12.48,3129,0.226,0.065,-1.116,0.033,0.307,0.012,20,0,10,20," ",71.449,41.477
"ASCC_12",72.4,41.744,162.986,-1.893,0.303,7.97,10.1,1048,-0.687,0.117,-2.95,0.086,0.944,0.042,136,3,14,50,"[KPR2005] 12",72.4,41.744
"Berkeley_68",71.053,42.134,162.039,-2.404,0.1,9.32,12.65,3383,2.242,0.079,-1.393,0.053,0.292,0.046,199,3,41,195,"Cl Berkeley 68",71.053,42.134
"COIN-Gaia_39",69.612,42.95,160.724,-2.663,0.244,8.46,10.02,1010,0.147,0.058,-2.551,0.06,0.969,0.03,13,0,1,8,"[CKS2019] COIN-Gaia 39",69.612,42.95
"Berkeley_12",71.1,42.691,161.64,-2.014,0.036,9.3,13.17,4298,0.742,0.103,-1.74,0.096,0.242,0.076,75,3,28,76,"Cl Berkeley 12",71.1,42.691
"Ruprecht_148",71.638,44.711,160.359,-0.403,0.043,7.64,12.66,3401,-0.195,0.064,-1.138,0.063,0.275,0.039,40,5,29,40,"Cl Ruprecht 148",71.638,44.711
"Skiff_J0458+43.0",74.547,43.036,162.984,0.152,0.067,8.53,12.11,2643,0.566,0.071,-1.179,0.05,0.365,0.006,16,0,6,13,"Name Skiff J0458+43.0",74.547,43.036
"Berkeley_14",74.935,43.488,162.805,0.655,0.051,9.43,13.47,4933,1.406,0.09,0.394,0.079,0.191,0.074,183,6,42,188,"Cl Berkeley 14",74.935,43.488
"FSR_0716",77.786,45.718,162.252,3.619,0.052,8.94,12.77,3575,-0.334,0.073,-1.703,0.062,0.249,0.046,79,0,20,77,"[FSR2007] 0716",77.786,45.718
"Berkeley_15",75.52,44.506,162.26,1.612,0.06,7.27,12.36,2958,0.675,0.091,-0.968,0.084,0.352,0.053,112,6,60,113,"Cl Berkeley 15",75.52,44.506
"NGC_1664",72.763,43.676,161.67,-0.452,0.113,8.71,10.64,1341,1.596,0.121,-5.812,0.116,0.737,0.042,295,5,45,133,"NGC 1664",72.763,43.676
"UBC_429",72.578,44.762,160.746,0.125,0.042,8.48,12.06,2580,-0.407,0.051,-1.125,0.032,0.368,0.031,29,0,12,29," ",72.578,44.762
"Berkeley_18",80.531,45.442,163.589,5.03,0.117,9.64,13.75,5632,0.771,0.091,-0.083,0.065,0.164,0.049,250,16,130,252,"Cl Berkeley 18",80.531,45.442
"ASCC_13",78.255,44.417,163.502,3.122,0.609,7.5,10.24,1115,-0.548,0.085,-1.802,0.077,0.89,0.043,84,2,17,45,"[KPR2005] 13",78.255,44.417
"NGC_1883",81.48,46.493,163.082,6.163,0.032,8.79,13.37,4710,0.389,0.073,-1.189,0.066,0.187,0.041,88,6,44,89,"NGC 1883",81.48,46.493
"UBC_59",82.239,48.043,162.06,7.443,0.107,8.69,12.06,2585,0.613,0.044,-1.996,0.063,0.427,0.032,74,4,20,67," ",82.239,48.043
"NGC_1798",77.914,47.691,160.705,4.85,0.039,9.22,13.55,5124,0.794,0.066,-0.363,0.067,0.204,0.041,173,7,80,174,"NGC 1798",77.914,47.691
"IC_348",56.132,32.159,160.486,-17.81,0.096,7.07,7.64,337,4.43,0.448,-6.328,0.54,3.143,0.094,139,0,2,11,"IC 348",56.132,32.159
"UBC_4",61.002,35.347,161.457,-12.744,1.02,8.72,8.91,604,-0.806,0.065,-5.74,0.091,1.693,0.049,43,1,8,18," ",61.002,35.347
"ASCC_10",51.87,34.981,155.723,-17.77,0.558,8.42,9.1,660,-1.792,0.099,-1.396,0.095,1.502,0.038,64,2,14,30,"[KPR2005] 10",51.87,34.981
"NGC_1342",52.894,37.38,154.94,-15.347,0.289,8.91,9.18,686,0.423,0.159,-1.631,0.156,1.526,0.039,319,3,18,83,"NGC 1342",52.894,37.38
"UBC_57",62.981,42.723,157.487,-6.306,0.054,9.18,11.6,2090,3.13,0.077,-2.228,0.035,0.513,0.039,36,2,9,28," ",62.981,42.723
"Berkeley_11",65.126,44.922,157.066,-3.65,0.038,7.84,12.42,3050,1.032,0.099,-1.894,0.064,0.354,0.044,74,11,43,75,"Cl Berkeley 11",65.126,44.922
"UPK_333",61.771,44.094,155.823,-5.823,0.412,8.88,9.25,706,2.454,0.094,-6.443,0.084,1.397,0.044,53,0,13,23," ",61.771,44.094
"UBC_54",64.747,46.453,155.799,-2.748,0.178,8.4,10.22,1105,3.265,0.097,-3.8,0.079,0.914,0.043,140,6,25,81," ",64.747,46.453
"Juchert_20",62.703,46.874,154.492,-3.414,0.04,8.48,12.47,3115,1.12,0.103,-1.692,0.062,0.345,0.062,71,2,21,57,"Juchert 20",62.703,46.874
"ASCC_11",53.056,44.856,150.546,-9.224,0.312,8.39,9.69,867,0.901,0.123,-3.089,0.127,1.172,0.043,239,5,25,83,"[KPR2005] 11",53.056,44.856
"Gulliver_25",52.011,45.152,149.761,-9.407,0.331,8.56,10.66,1356,0.907,0.076,-4.151,0.09,0.731,0.032,39,0,4,22,"Cl Gulliver 25",52.011,45.152
"UBC_88",58.17,45.969,152.733,-6.154,0.174,7.72,9.89,951,-1.442,0.101,-3.015,0.113,1.03,0.033,86,4,13,45," ",58.17,45.969
"UBC_53",59.821,47.395,152.68,-4.333,0.057,8.68,11.14,1692,0.612,0.051,-2.974,0.046,0.625,0.037,45,2,14,37," ",59.821,47.395
"UBC_425",59.236,48.622,151.568,-3.649,0.105,7.93,12.44,3069,0.769,0.037,-1.422,0.037,0.338,0.025,31,4,23,32," ",59.236,48.622
"NGC_1513",62.47,49.504,152.589,-1.59,0.106,8.46,10.95,1546,1.318,0.114,-3.697,0.093,0.679,0.037,322,8,53,188,"NGC 1513",62.47,49.504
"UBC_426",62.5,50.103,152.216,-1.131,0.082,8.1,12.14,2675,0.76,0.05,-2.231,0.043,0.37,0.025,47,6,33,48," ",62.5,50.103
"FSR_0667",61.766,51.141,151.153,-0.685,0.068,8.85,10.36,1182,0.847,0.049,-3.751,0.11,0.858,0.035,31,2,6,16,"[FSR2007] 0667",61.766,51.141
"King_7",59.783,51.785,149.8,-1.017,0.06,8.35,12.51,3171,1.134,0.114,-1.184,0.092,0.297,0.058,347,26,181,353,"Cl King 7",59.783,51.785
"NGC_1496",61.111,52.668,149.833,0.182,0.044,8.59,11.11,1667,1.483,0.076,-0.775,0.045,0.612,0.033,52,2,18,42,"NGC 1496",61.111,52.668
"Juchert_19",60.585,52.446,149.74,-0.195,0.025,6.91,13.83,5822,-0.234,0.051,0.182,0.06,0.128,0.044,21,10,21,21,"Juchert 19",60.585,52.446
"UBC_51",59.648,52.56,149.233,-0.482,0.148,7,10.11,1051,-0.248,0.047,-1.303,0.04,0.917,0.016,32,1,4,21," ",59.648,52.56
"Gulliver_11",67.996,43.62,159.434,-3.079,0.131,8.51,9.79,907,0.298,0.087,-2.283,0.096,1.073,0.047,60,0,3,14,"Cl Gulliver 11",67.996,43.62
"NGC_1582",67.985,43.718,159.357,-3.019,0.264,8.37,9.99,994,2.165,0.099,-1.419,0.075,1.016,0.042,143,5,28,70,"NGC 1582",67.985,43.718
"NGC_1605",68.745,45.269,158.586,-1.567,0.047,8.28,12.44,3073,0.935,0.097,-1.989,0.052,0.322,0.045,92,3,46,92,"NGC 1605",68.745,45.269
"UBC_428",66.793,44.67,158.064,-2.989,0.111,8.38,12.68,3429,1.267,0.06,-1.402,0.037,0.332,0.046,51,6,32,51," ",66.793,44.67
"UBC_56",69.874,47.534,157.428,0.529,0.133,8.78,9.75,891,1.5,0.136,-4.053,0.092,1.147,0.033,71,1,15,44," ",69.874,47.534
"NGC_1724",75.838,49.495,158.429,4.823,0.055,8.48,12.9,3795,0.864,0.046,0.04,0.08,0.241,0.033,25,1,9,25,"NGC 1724",75.838,49.495
"UBC_55",66.364,46.122,156.823,-2.19,0.143,7.53,9.76,896,-1.073,0.067,-2.613,0.059,1.113,0.035,56,6,12,41," ",66.364,46.122
"LP_2139",67.683,46.302,157.324,-1.406,0.198,8.43,10.21,1101,0.271,0.109,-4.265,0.104,0.898,0.034,208,1,25,82," ",67.683,46.302
"Berkeley_67",69.472,50.755,154.852,2.481,0.082,9.1,11.73,2216,2.29,0.072,-1.414,0.065,0.461,0.047,149,0,36,130,"Cl Berkeley 67",69.472,50.755
"UBC_427",71.783,49.035,157.143,2.474,0.072,8.78,12.48,3130,0.962,0.044,-2.268,0.05,0.339,0.024,43,6,24,43," ",71.783,49.035
"Berkeley_13",73.943,52.809,155.069,5.919,0.065,8.69,12.99,3958,-0.128,0.077,0.539,0.054,0.225,0.053,134,7,62,135,"Cl Berkeley 13",73.943,52.809
"NGC_1708",75.871,52.851,155.752,6.866,0.248,8.43,9.93,967,0.175,0.112,-1.441,0.09,1.046,0.05,133,0,15,52,"NGC 1708",75.871,52.851
"FSR_0683",77.168,53.213,155.926,7.709,0.033,7.78,12.33,2926,-0.188,0.024,-0.843,0.078,0.3,0.038,20,1,2,17,"[FSR2007] 0683",77.168,53.213
"UBC_8",84.519,57.124,154.908,13.352,0.426,8.7,8.49,497,-3.22,0.172,-3.997,0.134,2.086,0.03,103,0,6,28," ",84.519,57.124
"NGC_1545",65.202,50.221,153.366,0.145,0.29,8.04,9.32,732,-2.042,0.131,-0.126,0.113,1.398,0.04,115,3,16,34,"NGC 1545",65.202,50.221
"NGC_1528",63.878,51.218,152.069,0.274,0.235,8.47,10.14,1067,2.136,0.127,-2.284,0.101,0.972,0.036,296,9,60,146,"NGC 1528",63.878,51.218
"UBC_52",64.728,52.344,151.663,1.449,0.076,9.01,11.73,2215,-0.834,0.036,0.586,0.06,0.434,0.049,31,0,9,30," ",64.728,52.344
"UBC_609",65.262,53.069,151.282,2.214,0.335,6.75,12.81,3645,0.434,0.133,-0.715,0.173,0.227,0.037,220,54,180,224," ",65.262,53.069
"Alessi_2",71.602,55.199,152.333,6.365,0.554,8.55,9.09,657,-0.921,0.13,-1.092,0.122,1.62,0.042,158,3,11,47,"Cl Alessi 2",71.602,55.199
"Waterloo_1",64.682,52.863,151.279,1.799,0.065,7.22,13.35,4670,0.462,0.129,-0.777,0.081,0.219,0.051,46,18,44,46,"Cl Waterloo 1",64.682,52.863
"UPK_312",68.037,56.066,150.32,5.42,0.26,8.68,9.29,720,0.126,0.106,-0.763,0.075,1.425,0.043,29,0,1,11," ",68.037,56.066
"UPK_305",41.127,39.027,145.757,-18.84,1.597,8.15,8.06,408,2.869,0.116,-6.608,0.074,2.46,0.065,40,0,0,5," ",41.127,39.027
"UPK_303",40.054,40.291,144.774,-18.007,0.734,7.9,6.57,206,18.306,0.3,-24.31,0.542,4.706,0.085,20,0,3,4," ",40.054,40.291
"NGC_1039",40.531,42.722,143.682,-15.646,0.403,8.12,8.64,534,,,,,,,528,3,34,114,"NGC 1039",40.531,42.722
"NGC_752",29.223,37.794,136.959,-23.289,0.485,9.07,8.42,483,9.761,0.233,-11.836,0.237,2.268,0.044,214,0,40,96,"NGC 752",29.223,37.794
"UPK_282",30.347,43.787,136.075,-17.291,0.18,7.88,9.46,779,-2.861,0.101,-3.358,0.063,1.267,0.056,39,1,2,9," ",30.347,43.787
"UBC_194",37.686,48.305,139.485,-11.345,0.101,8.36,10.67,1361,0.464,0.058,-2.855,0.07,0.734,0.039,68,4,15,33," ",37.686,48.305
"UBC_2",5.584,46.532,117.731,-16.046,0.547,8.3,8.72,555,-6.428,0.046,-5.105,0.117,1.784,0.024,21,1,8,12," ",5.584,46.532
"UBC_182",4.18,52.298,117.56,-10.201,0.14,7.13,10.93,1533,-2.856,0.072,-1.85,0.078,0.6,0.034,24,0,4,15," ",4.18,52.298
"Alessi_1",13.343,49.536,123.255,-13.335,0.249,9.16,9.19,689,6.482,0.079,-6.419,0.131,1.415,0.045,43,0,5,20,"Cl Alessi 1",13.343,49.536
"Gaia_2",28.136,53.058,132.15,-8.716,0.031,9.9,13.65,5370,-1.277,0.025,1.2,0.001,0.191,0.016,6,0,0,6,"[KBT2017] Gaia 2",28.136,53.058
"UBC_417",29.214,54.43,132.447,-7.239,0.084,7.79,11.61,2095,-0.833,0.032,-1.544,0.037,0.504,0.034,31,0,5,22," ",29.214,54.43
"UBC_188",27.466,53.9,131.559,-7.983,0.142,7.42,12.29,2872,-0.866,0.217,-1.65,0.171,0.334,0.038,66,4,17,55," ",27.466,53.9
"UBC_603",26.858,54.711,130.999,-7.262,0.231,7.63,12.3,2887,-0.816,0.208,-1.345,0.123,0.298,0.05,48,5,10,42," ",26.858,54.711
"UBC_85",18.644,57.816,126.021,-4.917,0.095,7.93,12.08,2608,-3.625,0.015,-0.668,0.046,0.351,0.044,32,2,12,32," ",18.644,57.816
"NGC_457",19.887,58.278,126.631,-4.392,0.125,7.32,12.2,2749,-1.594,0.068,-0.74,0.085,0.326,0.03,493,77,254,468,"NGC 457",19.887,58.278
"NGC_436",19.001,58.82,126.114,-3.899,0.045,7.75,12.46,3109,-0.988,0.052,-0.667,0.066,0.282,0.028,157,22,75,155,"NGC 436",19.001,58.82
"UBC_596",3.36,53.832,117.277,-8.629,0.061,8.15,11.32,1837,-2.128,0.058,-1.056,0.059,0.53,0.029,12,0,0,6," ",3.36,53.832
"UBC_183",5.005,55.714,118.491,-6.881,0.099,7.82,10.1,1046,0.671,0.025,-2.576,0.066,0.913,0.031,28,2,5,13," ",5.005,55.714
"Alessi_20",2.593,58.742,117.615,-3.705,0.235,6.97,8.08,412,8.19,0.267,-2.364,0.241,2.337,0.048,115,1,4,15,"Cl Alessi 20",2.593,58.742
"COIN-Gaia_2",15.06,55.409,124.192,-7.441,0.187,8.82,10.4,1204,-4.441,0.068,-2.07,0.082,0.774,0.037,112,2,14,45,"[CKS2019] COIN-Gaia 2",15.06,55.409
"IC_1590",13.205,56.629,123.123,-6.242,0.055,6.79,12.37,2980,-2.343,0.103,-1.498,0.115,0.344,0.032,96,14,53,77,"IC 1590",13.205,56.629
"King_2",12.741,58.188,122.869,-4.684,0.051,9.61,14.15,6760,-1.399,0.068,-0.868,0.081,0.13,0.055,116,7,45,115,"Cl King 2",12.741,58.188
"UBC_36",16.487,59.632,124.768,-3.188,0.065,8.73,11.55,2042,-1.156,0.039,-0.462,0.071,0.496,0.031,27,3,7,17," ",16.487,59.632
"Czernik_2",10.952,60.197,121.983,-2.661,0.085,8.57,11.39,1899,-4.065,0.067,-0.985,0.053,0.503,0.039,76,0,16,49,"Cl Czernik 2",10.952,60.197
"NGC_189",9.885,61.09,121.494,-1.749,0.079,8.6,10.45,1228,0.353,0.056,-3.382,0.103,0.775,0.025,47,2,21,39,"NGC 189",9.885,61.09
"NGC_225",10.805,61.774,121.96,-1.082,0.216,8.46,9.16,679,-5.316,0.057,-0.216,0.083,1.46,0.017,27,0,3,12,"NGC 225",10.805,61.774
"Stock_24",9.945,61.967,121.563,-0.874,0.053,8.08,12.36,2961,-1.366,0.048,-0.029,0.069,0.331,0.029,77,11,29,71,"Cl Stock 24",9.945,61.967
"Stock_21",7.59,57.922,120.126,-4.835,0.052,8.45,11.55,2040,-2.141,0.052,-1.887,0.071,0.479,0.03,57,1,18,40,"Cl Stock 21",7.59,57.922
"UBC_184",5.76,59.451,119.324,-3.222,0.064,8.91,11.15,1697,-3.313,0.037,-1.95,0.041,0.549,0.02,51,0,15,34," ",5.76,59.451
"NGC_129",7.607,60.213,120.323,-2.552,0.169,8.11,11.4,1906,-2.588,0.085,-1.183,0.087,0.528,0.027,363,26,132,284,"NGC 129",7.607,60.213
"UBC_33",7.36,60.498,120.225,-2.258,0.113,8.14,11,1586,-0.943,0.043,-0.532,0.051,0.646,0.027,42,5,24,36," ",7.36,60.498
"Berkeley_2",6.319,60.392,119.703,-2.316,0.027,8.77,14.2,6928,-1.092,0.056,-0.387,0.074,0.112,0.061,70,9,71,71,"Cl Berkeley 2",6.319,60.392
"NGC_103",6.312,61.326,119.795,-1.386,0.053,8.01,12.5,3167,-2.804,0.053,-1.075,0.061,0.282,0.035,171,11,50,151,"NGC 103",6.312,61.326
"Juchert_Saloran_1",4.078,59.967,118.545,-2.606,0.038,8.78,13.66,5383,-1.639,0.071,-1.291,0.076,0.166,0.04,64,7,59,65,"Name Juchert-Saloranta 1",4.078,59.967
"Berkeley_1",2.449,60.476,117.82,-1.982,0.036,8.48,12.89,3779,-2.7,0.062,-0.24,0.075,0.242,0.048,48,2,13,47,"Cl Berkeley 1",2.449,60.476
"UBC_406",0.597,60.975,117.007,-1.329,0.094,7.74,12.76,3570,-3.126,0.108,-1.512,0.05,0.281,0.043,77,21,54,78," ",0.597,60.975
"Berkeley_58",0.063,60.937,116.754,-1.319,0.06,7.78,12.7,3468,-3.495,0.041,-1.809,0.052,0.303,0.03,122,15,77,123,"Cl Berkeley 58",0.063,60.937
"Berkeley_60",4.44,60.936,118.851,-1.669,0.04,8.57,12.85,3711,-0.657,0.062,-0.742,0.047,0.262,0.046,100,3,46,103,"Cl Berkeley 60",4.44,60.936
"King_13",2.553,61.175,117.982,-1.3,0.071,8.7,12.74,3525,-2.729,0.061,-0.872,0.069,0.25,0.036,239,10,105,239,"Cl King 13",2.553,61.175
"Czernik_1",1.906,61.476,117.725,-0.952,0.024,7.57,12.47,3124,-2.96,0.058,-1.464,0.054,0.316,0.021,35,3,16,34,"Cl Czernik 1",1.906,61.476
"Gulliver_24",1.161,62.835,117.62,0.447,0.101,8.25,10.88,1498,-3.221,0.076,-1.581,0.067,0.651,0.028,74,2,12,37,"Cl Gulliver 24",1.161,62.835
"NGC_136",7.896,61.506,120.566,-1.274,0.027,8.41,13.56,5141,-1.612,0.048,-0.592,0.054,0.19,0.034,70,5,31,69,"NGC 136",7.896,61.506
"King_15",8.262,61.854,120.765,-0.941,0.041,8.47,12.66,3403,-2.308,0.056,-0.899,0.059,0.288,0.039,64,8,29,61,"Cl King 15",8.262,61.854
"FSR_0498",7.317,62.389,120.366,-0.372,0.117,7.73,12.14,2674,-3.295,0.043,-0.761,0.046,0.363,0.018,41,5,27,43,"[FSR2007] 0498",7.317,62.389
"Mayer_1",5.502,61.751,119.456,-0.922,0.101,7.46,12.09,2618,-3.482,0.098,-1.503,0.107,0.36,0.03,31,1,11,23,"Cl Mayer 1",5.502,61.751
"Stock_20",6.318,62.624,119.929,-0.095,0.046,7.28,12.07,2598,-3.209,0.042,-1.217,0.066,0.359,0.014,37,5,20,35,"Cl Stock 20",6.318,62.624
"SAI_4",5.895,62.712,119.745,0.013,0.049,8.02,12.54,3226,-3.081,0.049,-0.605,0.034,0.302,0.034,43,7,14,39,"SAI 4",5.895,62.712
