"Cluster","RA","DEC","GLON","GLAT","r50","agenn","dmnn","distpc","pmRA*","e_pmRA*","pmDE","e_pmDE","plx","e_plx","nb","nbB0","nbB2","nbB4","SimbadName","_RA_icrs","_DE_icrs"
"FSR_1172",103.909,-11.035,223.244,-4.087,0.021,8.05,12.01,2526,-0.441,0.066,-0.255,0.047,0.397,0.048,13,1,7,13,"[FSR2007] 1172",103.909,-11.035
"FSR_1163",104.81,-9.078,221.9,-2.409,0.076,9.13,11.85,2345,0.172,0.045,1.269,0.038,0.41,0.029,36,0,14,33,"[FSR2007] 1163",104.81,-9.078
"Ivanov_4",105.144,-8.861,221.858,-2.016,0.019,7.8,11.97,2480,-1.309,0.03,0.991,0.198,0.357,0.033,9,4,5,8,"[IBP2002] CC04",105.144,-8.861
"BDSB93",104.297,-8.202,220.888,-2.462,0.036,7.2,10.39,1196,-2.5,0.157,1.149,0.232,0.764,0.049,32,2,8,13,"[BDS2003] 93",104.297,-8.202
"UBC_218",106.514,-9.163,222.779,-0.937,0.251,7.49,12.16,2704,-1.199,0.109,0.923,0.065,0.359,0.031,161,9,55,154," ",106.514,-9.163
"UBC_447",106.389,-9.026,222.568,-0.991,0.089,8.39,12.14,2673,-1.121,0.025,-0.134,0.044,0.373,0.026,68,6,40,69," ",106.389,-9.026
"FSR_1170",106.873,-8.879,222.656,-0.506,0.019,8.29,12.46,3110,-0.691,0.051,-0.146,0.05,0.334,0.037,17,3,12,17,"[FSR2007] 1170",106.873,-8.879
"NGC_2323",105.684,-8.365,221.66,-1.315,0.263,8.12,9.96,983,-0.768,0.229,-0.602,0.172,1.006,0.038,765,14,94,300,"NGC 2323",105.684,-8.365
"UBC_445",108.501,-6.563,221.355,1.988,0.08,8.51,12.2,2751,-0.966,0.041,-1.323,0.048,0.351,0.022,36,2,12,34," ",108.501,-6.563
"FSR_1150",106.146,-6.621,220.32,-0.108,0.028,8.85,12.73,3507,-0.512,0.047,0.104,0.043,0.252,0.032,34,1,15,34,"[FSR2007] 1150",106.146,-6.621
"UBC_444",105.311,-6.837,220.139,-0.953,0.098,8.69,10.18,1084,-1.489,0.062,-2.456,0.06,0.904,0.034,25,0,1,12," ",105.311,-6.837
"UBC_628",107.153,-6.212,220.418,0.971,0.045,9.2,13.43,4853,-0.543,0.027,0.601,0.017,0.161,0.033,22,1,16,22," ",107.153,-6.212
"Haffner_3",106.027,-6.133,219.831,0.01,0.042,8.77,12,2511,-1.172,0.052,-0.887,0.057,0.347,0.036,28,0,10,27,"Cl Haffner 3",106.027,-6.133
"UBC_448",113.508,-8.089,225.04,5.664,0.041,8.46,12.49,3144,-1.425,0.05,0.565,0.064,0.307,0.028,21,0,2,16," ",113.508,-8.089
"Berkeley_39",116.702,-4.665,223.532,10.087,0.055,9.75,12.99,3968,-1.728,0.073,-1.632,0.069,0.226,0.067,525,5,34,256,"Cl Berkeley 39",116.702,-4.665
"UBC_217",108.213,-4.692,219.558,2.605,0.057,8.9,12.1,2630,-2.589,0.05,2.182,0.046,0.361,0.022,24,0,5,21," ",108.213,-4.692
"Berkeley_77",110.362,-3.234,219.253,5.181,0.028,8.87,12.79,3617,-0.974,0.046,-0.129,0.043,0.219,0.033,58,1,9,48,"Cl Berkeley 77",110.362,-3.234
"NGC_2548",123.412,-5.726,227.842,15.39,0.369,8.59,9.44,772,-1.282,0.129,1.045,0.155,1.298,0.041,446,13,64,151,"NGC 2548",123.412,-5.726
"UBC_629",121.07,-3.797,224.885,14.303,0.191,9.52,12.38,2998,-2.297,0.196,0.206,0.235,0.313,0.027,16,0,2,12," ",121.07,-3.797
"UBC_627",120.007,1.469,219.595,15.9,0.126,9.32,12.12,2651,-1.929,0.249,0.343,0.408,0.394,0.054,16,0,2,12," ",120.007,1.469
"ASCC_41",116.674,0.137,219.206,12.333,0.679,8.33,7.39,300,0.693,0.195,-3.955,0.189,3.374,0.082,118,0,1,15,"[KPR2005] 41",116.674,0.137
"UBC_13",120.914,3.54,218.116,17.666,1.1,8.26,9,629,-7.753,0.174,-1.144,0.244,1.61,0.046,36,0,2,9," ",120.914,3.54
"UPK_436",100.18,-8.126,218.99,-6.028,0.544,7.41,9.64,845,-4.129,0.128,0.655,0.114,1.19,0.053,96,0,7,37," ",100.18,-8.126
"NGC_2309",104.02,-7.18,219.852,-2.242,0.052,8.07,11.93,2431,-0.528,0.056,-0.643,0.067,0.374,0.035,190,7,45,146,"NGC 2309",104.02,-7.18
"NGC_2302",102.977,-7.086,219.298,-3.121,0.065,8.03,10.5,1258,-1.502,0.067,-0.236,0.046,0.822,0.062,51,0,10,25,"NGC 2302",102.977,-7.086
"UBC_216",100.431,-5.789,216.975,-4.799,0.124,7.79,10.41,1209,-0.07,0.102,-0.875,0.083,0.852,0.029,57,0,14,32," ",100.431,-5.789
"FSR_1144",104.298,-6.628,219.486,-1.744,0.047,7.81,11.29,1808,-1.295,0.076,1.137,0.079,0.502,0.031,60,2,13,36,"[FSR2007] 1144",104.298,-6.628
"ASCC_30",104.271,-6.23,219.119,-1.587,0.27,8.24,10.14,1067,-1.592,0.064,-0.162,0.073,0.898,0.025,46,0,7,18,"[KPR2005] 30",104.271,-6.23
"UPK_433",103.455,-5.729,218.274,-2.124,0.313,8.26,9.48,787,-0.776,0.103,-2.506,0.084,1.265,0.027,46,0,5,24," ",103.455,-5.729
"Bochum_3",105.86,-5.021,218.767,0.372,0.033,8.06,11.75,2238,-1.176,0.038,-0.23,0.082,0.4,0.021,17,1,9,16,"Cl Bochum 3",105.86,-5.021
"NGC_2311",104.455,-4.616,217.767,-0.688,0.059,7.65,11.51,2003,-1.301,0.072,1.012,0.047,0.458,0.041,82,1,17,50,"NGC 2311",104.455,-4.616
"FSR_1125",102.619,-5.444,217.671,-2.693,0.024,8.08,14.13,6699,-0.204,0.098,1.058,0.09,0.154,0.064,23,5,22,23,"[FSR2007] 1125",102.619,-5.444
"UBC_443",98.638,-6.818,217.109,-6.839,0.08,8.95,12.51,3171,0.288,0.081,0.079,0.063,0.312,0.049,47,2,16,48," ",98.638,-6.818
"UBC_215",100.461,-5.243,216.528,-4.506,0.132,8.61,10.76,1419,-0.11,0.062,-3.123,0.074,0.699,0.028,51,5,17,33," ",100.461,-5.243
"UBC_442",100.581,-4.624,216.018,-4.123,0.048,9.16,13.11,4182,0.171,0.034,-0.282,0.039,0.221,0.043,33,0,21,33," ",100.581,-4.624
"NGC_2232",96.888,-4.749,214.458,-7.471,0.516,7.25,7.49,315,-4.719,0.221,-1.783,0.206,3.123,0.055,184,3,13,26,"NGC 2232",96.888,-4.749
"Czernik_26",97.754,-4.183,214.342,-6.445,0.019,8.72,14.25,7087,0.023,0.046,0.18,0.038,0.116,0.025,10,1,7,10,"Cl Czernik 26",97.754,-4.183
"NGC_2286",101.916,-3.167,215.322,-2.282,0.074,8.74,11.8,2286,0.223,0.077,-1.453,0.088,0.411,0.04,140,6,36,105,"NGC 2286",101.916,-3.167
"UBC_441",99.998,-3.613,214.85,-4.189,0.075,8.24,11.5,1991,0.08,0.049,-0.425,0.067,0.473,0.035,34,1,10,27," ",99.998,-3.613
